# imx766 (ultrawide, cam2) perturbation capture -- per-unit QSC window 0xc800..0xd3ff STRIPPED
0x86a9 0x4e
0x136 0x13
0x137 0x33
0x33f0 0x5
0x33f1 0x5
0x111 0x3
0x1f04 0xb3
0x1f05 0x1
0x1f06 0x7
0x1f07 0x66
0x1f08 0x1
0x33f2 0x1
0x1f04 0xa3
0x1f05 0x1
0x600 0x0
0x601 0x2
0x3877 0x1
0xb500 0x0
0x33f2 0x2
0x1f08 0x0
0x33d3 0x1
0x3892 0x1
0x4c14 0x0
0x4c15 0x7
0x4c16 0x0
0x4c17 0x1b
0x4c1a 0x0
0x4c1b 0x3
0x4c1c 0x0
0x4c1d 0x0
0x4c1e 0x0
0x4c1f 0x2
0x4c20 0x0
0x4c21 0x5f
0x4c26 0x0
0x4c27 0x43
0x4c28 0x0
0x4c29 0x9
0x4c2a 0x0
0x4c2b 0x4a
0x4c2c 0x0
0x4c2d 0x0
0x4c2e 0x0
0x4c2f 0x2
0x4c30 0x0
0x4c31 0xc6
0x4c3e 0x0
0x4c3f 0x55
0x4c52 0x0
0x4c53 0x97
0x4cb4 0x0
0x4cb5 0x55
0x4cc8 0x0
0x4cc9 0x97
0x4d04 0x0
0x4d05 0x4f
0x4d18 0x0
0x4d19 0x9d
0x4d74 0x0
0x4d75 0x55
0x4d88 0x0
0x4d89 0x97
0x4f06 0x0
0x4f07 0x5f
0x4f48 0x0
0x4f49 0xc6
0x544a 0xff
0x544b 0xff
0x544e 0x1
0x544f 0xbd
0x5452 0xff
0x5453 0xff
0x5456 0x0
0x5457 0xa5
0x545a 0xff
0x545b 0xff
0x545e 0x0
0x545f 0xa5
0x5496 0x0
0x5497 0xa2
0x54f6 0x1
0x54f7 0x55
0x54f8 0x1
0x54f9 0x61
0x5670 0x0
0x5671 0x85
0x5672 0x1
0x5673 0x77
0x5674 0x1
0x5675 0x2f
0x5676 0x2
0x5677 0x55
0x5678 0x0
0x5679 0x85
0x567a 0x1
0x567b 0x77
0x567c 0x1
0x567d 0x2f
0x567e 0x2
0x567f 0x55
0x5680 0x0
0x5681 0x85
0x5682 0x1
0x5683 0x77
0x5684 0x1
0x5685 0x2f
0x5686 0x2
0x5687 0x55
0x5688 0x0
0x5689 0x85
0x568a 0x1
0x568b 0x77
0x568c 0x1
0x568d 0x2f
0x568e 0x2
0x568f 0x55
0x5690 0x1
0x5691 0x7a
0x5692 0x2
0x5693 0x6c
0x5694 0x1
0x5695 0x35
0x5696 0x2
0x5697 0x5b
0x5698 0x1
0x5699 0x7a
0x569a 0x2
0x569b 0x6c
0x569c 0x1
0x569d 0x35
0x569e 0x2
0x569f 0x5b
0x56a0 0x1
0x56a1 0x7a
0x56a2 0x2
0x56a3 0x6c
0x56a4 0x1
0x56a5 0x35
0x56a6 0x2
0x56a7 0x5b
0x56a8 0x1
0x56a9 0x80
0x56aa 0x2
0x56ab 0x72
0x56ac 0x1
0x56ad 0x2f
0x56ae 0x2
0x56af 0x55
0x5902 0xe
0x5a50 0x4
0x5a51 0x4
0x5a69 0x1
0x5c49 0xd
0x5c57 0xa
0x5d60 0x8
0x5d61 0x8
0x5d62 0x8
0x5d63 0x8
0x5d64 0x8
0x5d67 0x8
0x5d6c 0x8
0x5d6e 0x8
0x5d71 0x8
0x5d8e 0x14
0x5d90 0x3
0x5d91 0xa
0x5d92 0x1f
0x5d93 0x5
0x5d94 0x1f
0x5d97 0x1f
0x5d9a 0x6
0x5d9c 0x1f
0x5d9e 0x1f
0x5da1 0x1f
0x5da6 0x1f
0x5da8 0x1f
0x5dab 0x1f
0x5dc0 0x6
0x5dc1 0x6
0x5dc2 0x7
0x5dc3 0x6
0x5dc4 0x7
0x5dc7 0x7
0x5dcc 0x7
0x5dce 0x7
0x5dd1 0x7
0x5e3e 0x0
0x5e3f 0x0
0x5e41 0x0
0x5e48 0x0
0x5e49 0x0
0x5e4a 0x0
0x5e4c 0x0
0x5e4d 0x0
0x5e4e 0x0
0x5e50 0x23
0x5e51 0x20
0x5e52 0x7
0x5e53 0x20
0x5e54 0x3
0x5e55 0x27
0x5e56 0xb
0x5e57 0x24
0x5e58 0xb
0x5e60 0x24
0x5e61 0x24
0x5e62 0x1b
0x5e63 0x23
0x5e64 0xd
